,NumberOfInstances,LogNumberOfInstances,NumberOfClasses,NumberOfFeatures,LogNumberOfFeatures,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfFeaturesWithMissingValues,PercentageOfFeaturesWithMissingValues,NumberOfMissingValues,PercentageOfMissingValues,NumberOfNumericFeatures,NumberOfCategoricalFeatures,RatioNumericalToNominal,RatioNominalToNumerical,DatasetRatio,LogDatasetRatio,InverseDatasetRatio,LogInverseDatasetRatio,ClassProbabilityMin,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilitySTD,SymbolsMin,SymbolsMax,SymbolsMean,SymbolsSTD,SymbolsSum,KurtosisMin,KurtosisMax,KurtosisMean,KurtosisSTD,SkewnessMin,SkewnessMax,SkewnessMean,SkewnessSTD,ClassEntropy
1,898.0,6.8001700683022,5.0,38.0,3.6375861597263857,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,0.18181818181818182,5.5,0.042316258351893093,-3.162583908575814,23.63157894736842,3.162583908575814,0.008908685968819599,0.7616926503340757,0.2,0.28282850691819206,1.0,8.0,2.4375,1.4347800354061246,78.0,-0.9736525543012844,13.1353349223076,4.6155107992944915,5.880869964748683,0.07286850606115187,3.755315751724777,2.0235951904604295,1.3345995367798529,1.1898338562043977
2,898.0,6.8001700683022,5.0,38.0,3.6375861597263857,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,0.18181818181818182,5.5,0.042316258351893093,-3.162583908575814,23.63157894736842,3.162583908575814,0.008908685968819599,0.7616926503340757,0.19999999999999998,0.282828506918192,1.0,8.0,2.4375,1.4347800354061246,78.0,-0.9736525543012844,13.1353349223076,4.6155107992944915,5.880869964748683,0.07286850606115187,3.755315751724777,2.0235951904604295,1.3345995367798529,1.1898338562043977
6,20000.0,9.903487552536127,26.0,16.0,2.772588722239781,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,16.0,0.0625,0.0008,-7.1308988302963465,1250.0,7.1308988302963465,0.0367,0.04065,0.038461538461538464,0.0011362309228581885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.699810726573158
10,148.0,4.997212273764115,4.0,18.0,2.8903717578961645,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.1875,5.333333333333333,0.12162162162162163,-2.10684051586795,8.222222222222221,2.10684051586795,0.013513513513513514,0.5472972972972973,0.25,0.23469397882376222,2.0,8.0,2.933333333333333,1.569146972791976,44.0,-0.5274945597084546,28.7136089467821,9.512437577780908,13.582016584736037,0.3304025330575729,5.3870465945962165,2.302843497950813,2.2089852224452287,1.2276775019465804
11,625.0,6.437751649736401,3.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.25,0.0064,-5.051457288616511,156.25,5.051457288616511,0.0784,0.4608,0.3333333333333333,0.18026508875049052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.318116246441582
12,2000.0,7.600902459542082,10.0,216.0,5.375278407684165,0.0,0.0,0.0,0.0,0.0,0.0,216.0,1.0,216.0,0.004629629629629629,0.108,-2.2256240518579173,9.25925925925926,2.2256240518579173,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.321928094887362
14,2000.0,7.600902459542082,10.0,76.0,4.330733340286331,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1.0,76.0,0.013157894736842105,0.038,-3.270169119255751,26.31578947368421,3.270169119255751,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.321928094887362
16,2000.0,7.600902459542082,10.0,64.0,4.1588830833596715,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,64.0,0.015625,0.032,-3.4420193761824103,31.25,3.4420193761824107,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.321928094887362
18,2000.0,7.600902459542082,10.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.16666666666666666,0.003,-5.809142990314028,333.3333333333333,5.809142990314028,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.321928094887362
22,2000.0,7.600902459542082,10.0,47.0,3.8501476017100584,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,47.0,0.02127659574468085,0.0235,-3.750754857832024,42.5531914893617,3.750754857832024,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.321928094887362
