,NumberOfInstances,LogNumberOfInstances,NumberOfClasses,NumberOfFeatures,LogNumberOfFeatures,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfFeaturesWithMissingValues,PercentageOfFeaturesWithMissingValues,NumberOfMissingValues,PercentageOfMissingValues,NumberOfNumericFeatures,NumberOfCategoricalFeatures,RatioNumericalToNominal,RatioNominalToNumerical,DatasetRatio,LogDatasetRatio,InverseDatasetRatio,LogInverseDatasetRatio,ClassProbabilityMin,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilitySTD
1,898.0,6.8001700683022,5.0,38.0,3.6375861597263857,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,0.18181818181818182,5.5,0.042316258351893093,-3.162583908575814,23.63157894736842,3.162583908575814,0.008908685968819599,0.7616926503340757,0.2,0.282828506918192
2,898.0,6.8001700683022,5.0,38.0,3.6375861597263857,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,0.18181818181818182,5.5,0.042316258351893093,-3.162583908575814,23.63157894736842,3.162583908575814,0.008908685968819599,0.7616926503340757,0.2,0.28282850691819206
3,3196.0,8.069655306886165,2.0,36.0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.011264080100125156,-4.4861363684300555,88.77777777777777,4.4861363684300555,0.47778473091364204,0.522215269086358,0.5,0.02221526908635796
6,20000.0,9.903487552536127,26.0,16.0,2.772588722239781,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,16.0,0.0625,0.0008,-7.1308988302963465,1250.0,7.1308988302963465,0.0367,0.04065,0.038461538461538464,0.0011362309228581885
10,148.0,4.997212273764115,4.0,18.0,2.8903717578961645,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.1875,5.333333333333333,0.12162162162162163,-2.10684051586795,8.222222222222221,2.10684051586795,0.013513513513513514,0.5472972972972973,0.25,0.23469397882376222
11,625.0,6.437751649736401,3.0,4.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.25,0.0064,-5.051457288616511,156.25,5.051457288616511,0.0784,0.4608,0.3333333333333333,0.18026508875049052
12,2000.0,7.600902459542082,10.0,216.0,5.375278407684165,0.0,0.0,0.0,0.0,0.0,0.0,216.0,1.0,216.0,0.004629629629629629,0.108,-2.2256240518579173,9.25925925925926,2.2256240518579173,0.1,0.1,0.1,0.0
14,2000.0,7.600902459542082,10.0,76.0,4.330733340286331,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1.0,76.0,0.013157894736842105,0.038,-3.270169119255751,26.31578947368421,3.270169119255751,0.1,0.1,0.1,0.0
15,699.0,6.54965074223381,2.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,9.0,0.1111111111111111,0.012875536480686695,-4.352426164897591,77.66666666666667,4.352426164897591,0.3447782546494993,0.6552217453505007,0.5,0.1552217453505007
16,2000.0,7.600902459542082,10.0,64.0,4.1588830833596715,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,64.0,0.015625,0.032,-3.4420193761824103,31.25,3.4420193761824107,0.1,0.1,0.1,0.0
18,2000.0,7.600902459542082,10.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,0.16666666666666666,0.003,-5.809142990314028,333.3333333333333,5.809142990314028,0.1,0.1,0.1,0.0
173,323.0,5.777652323222656,2.0,12.0,2.4849066497880004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.03715170278637771,-3.292745673434656,26.916666666666668,3.292745673434656,0.021671826625386997,0.978328173374613,0.5,0.478328173374613
20,2000.0,7.600902459542082,10.0,240.0,5.480638923341991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,0.12,-2.120263536200091,8.333333333333334,2.120263536200091,0.1,0.1,0.1,0.0
21,1728.0,7.454719949364001,4.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.003472222222222222,-5.662960480135946,288.0,5.662960480135946,0.03761574074074074,0.7002314814814815,0.25,0.2705162827472604
22,2000.0,7.600902459542082,10.0,47.0,3.8501476017100584,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,47.0,0.02127659574468085,0.0235,-3.750754857832024,42.5531914893617,3.750754857832024,0.1,0.1,0.1,0.0
23,1473.0,7.29505641646263,3.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.25,4.0,0.006109979633401222,-5.097831839126411,163.66666666666666,5.097831839126411,0.22606924643584522,0.4270196877121521,0.3333333333333333,0.08259756282743058
180,110393.0,11.611802005017799,7.0,54.0,3.9889840465642745,0.0,0.0,0.0,0.0,0.0,0.0,14.0,41.0,0.34146341463414637,2.9285714285714284,0.0004891614504542861,-7.622817958453523,2044.3148148148148,7.622817958453523,0.012129392262190538,0.4681637422662669,0.14285714285714285,0.17265137361915808
181,1484.0,7.302496423727326,10.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0,0.125,0.005390835579514825,-5.22305488204749,185.5,5.22305488204749,0.0033692722371967657,0.3119946091644205,0.1,0.11100745284408914
182,6430.0,8.768729817231666,6.0,36.0,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,36.0,0.027777777777777776,0.005598755832037325,-5.185210878775555,178.61111111111111,5.185210878775555,0.09720062208398134,0.23810264385692068,0.16666666666666666,0.06190397693688873
26,12960.0,9.469622969906265,5.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0006172839506172839,-7.3901814282264295,1620.0,7.3901814282264295,0.00015432098765432098,0.3333333333333333,0.2,0.15327717978356098
28,5620.0,8.634086942887738,10.0,64.0,4.1588830833596715,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,64.0,0.015625,0.011387900355871887,-4.475203859528065,87.8125,4.475203859528065,0.09857651245551602,0.10177935943060498,0.09999999999999999,0.001150407820302107
184,28056.0,10.241957791820013,18.0,6.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.000213857998289136,-8.450198322591959,4676.0,8.450198322591959,0.000962360992301112,0.16228257770173937,0.05555555555555555,0.05206741359580048
30,5473.0,8.607582191143917,5.0,10.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,0.1,0.0018271514708569341,-6.304997098149872,547.3,6.304997098149872,0.0051160241183994155,0.8976795176320117,0.2,0.3493331771572183
31,1000.0,6.907755278982137,2.0,20.0,2.995732273553991,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,0.5,2.0,0.02,-3.912023005428146,50.0,3.912023005428146,0.3,0.7,0.5,0.19999999999999998
32,10992.0,9.30492301446213,10.0,16.0,2.772588722239781,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,16.0,0.0625,0.001455604075691412,-6.532334292222349,687.0,6.532334292222349,0.09597889374090247,0.10407569141193596,0.1,0.004003283362348256
29,690.0,6.536691597591305,2.0,15.0,2.70805020110221,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.6,1.6666666666666667,0.021739130434782608,-3.828641396489095,46.0,3.828641396489095,0.4449275362318841,0.5550724637681159,0.5,0.05507246376811592
183,4177.0,8.337348564497175,28.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.5,0.2857142857142857,0.0019152501795547043,-6.2579070228173395,522.125,6.2579070228173395,0.00023940627244433804,0.1649509217141489,0.03571428571428571,0.04957498263292657
188,736.0,6.601230118728877,5.0,19.0,2.9444389791664403,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,2.3333333333333335,0.42857142857142855,0.025815217391304348,-3.656791139562436,38.73684210526316,3.656791139562436,0.14266304347826086,0.2907608695652174,0.2,0.058379027247002314
36,2310.0,7.745002803515839,7.0,19.0,2.9444389791664403,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,19.0,0.05263157894736842,0.008225108225108226,-4.800563824349399,121.57894736842105,4.800563824349399,0.14285714285714285,0.14285714285714285,0.14285714285714282,2.7755575615628914e-17
37,768.0,6.643789733147672,2.0,8.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0,0.125,0.010416666666666666,-4.564348191467836,96.0,4.564348191467836,0.3489583333333333,0.6510416666666666,0.5,0.15104166666666666
39,336.0,5.817111159963204,8.0,7.0,1.9459101490553132,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,0.14285714285714285,0.020833333333333332,-3.871201010907891,48.0,3.871201010907891,0.005952380952380952,0.4255952380952381,0.125,0.13568621785779603
40,208.0,5.337538079701318,2.0,60.0,4.0943445622221,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,60.0,0.016666666666666666,0.28846153846153844,-1.2431935174792175,3.466666666666667,1.2431935174792172,0.46634615384615385,0.5336538461538461,0.5,0.033653846153846145
41,214.0,5.365976015021851,6.0,9.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,9.0,0.1111111111111111,0.04205607476635514,-3.168751437685632,23.77777777777778,3.168751437685632,0.04205607476635514,0.35514018691588783,0.16666666666666666,0.12687774038740293
42,683.0,6.52649485957079,19.0,35.0,3.5553480614894135,121.0,0.17715959004392387,33.0,0.048316251830161056,2336.0,0.09772014222965907,0.0,36.0,0.0,0.0,0.05124450951683748,-2.971146798081376,19.514285714285716,2.9711467980813766,0.01171303074670571,0.13469985358711567,0.05263157894736842,0.04305601166701597
43,306.0,5.723585101952381,2.0,3.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.00980392156862745,-4.624972813284271,102.0,4.624972813284271,0.2647058823529412,0.7352941176470589,0.5,0.23529411764705885
44,4601.0,8.434028950155469,2.0,57.0,4.04305126783455,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,57.0,0.017543859649122806,0.01238861117148446,-4.390977682320918,80.71929824561404,4.390977682320918,0.39404477287546186,0.6059552271245382,0.5,0.10595522712453817
