"Run ID","Flow","predictive_accuracy","Hyperparameters"
"6613421","mlr.classif.ranger(13)","0.8021","num.trees:124,mtry:3,sample.fraction:131976423528977,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2088496","sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,mlpclassifier=sklearn.neural_network.multilayer_perceptron.MLPClassifier)(1)","0.8008","copy:True,mean:True,std:True,network.multilay:1, verbose=False,
       warm_start=False))],activation:relu,alpha:1e-05,size:auto,1:0.9,2:0.999,stopping:False,epsilon:1e-08,sizes:(100, 100),rate:adaptive,init:0.001,iter:500,momentum:0.9,momentum:True,t:0.5,state:3,shuffle:True,solver:adam,tol:0.0001,fraction:0.1,verbose:False,start:False"
"7196606","mlr.classif.ranger(13)","0.8008","num.trees:125,mtry:3,sample.fraction:13095405199565,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"8558249","mlr.classif.ranger(9)","0.8008","num.trees:11,mtry:3,min.node.size:35,replace:FALSE,sample.fraction:236468013981357,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7392906","mlr.classif.ranger(13)","0.7995","num.trees:636,mtry:3,replace:FALSE,sample.fraction:105564438318834,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6741478","mlr.classif.ranger(13)","0.7995","num.trees:453,mtry:2,replace:FALSE,sample.fraction:117124291043729,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6863728","mlr.classif.ranger(13)","0.7995","num.trees:104,mtry:3,replace:FALSE,sample.fraction:110814373171888,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7564341","mlr.classif.ranger(13)","0.7995","num.trees:38,mtry:4,sample.fraction:195647246576846,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6810145","mlr.classif.ranger(13)","0.7995","num.trees:421,mtry:3,replace:FALSE,sample.fraction:114423255855218,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7705981","mlr.classif.ranger(13)","0.7995","num.trees:425,mtry:3,replace:FALSE,sample.fraction:110590889840387,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7705740","mlr.classif.ranger(13)","0.7995","num.trees:1101,mtry:3,replace:FALSE,sample.fraction:121798775764182,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7710509","mlr.classif.ranger(13)","0.7995","num.trees:1891,mtry:3,replace:FALSE,sample.fraction:100594608229585,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6956759","mlr.classif.ranger(13)","0.7995","num.trees:595,mtry:3,replace:FALSE,sample.fraction:112123417528346,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7109000","mlr.classif.ranger(13)","0.7995","num.trees:546,mtry:3,replace:FALSE,sample.fraction:111438699648716,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7200368","mlr.classif.ranger(13)","0.7995","num.trees:483,mtry:3,replace:FALSE,sample.fraction:110182877234183,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7197268","mlr.classif.ranger(13)","0.7995","num.trees:40,mtry:3,sample.fraction:14226290108636,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7200698","mlr.classif.ranger(13)","0.7995","num.trees:894,mtry:3,sample.fraction:123182612261735,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"511964","classif.bartMachine(3)","0.7981","data:TRUE,seed:1,kind:Mersenne-Twister,normal.kind:Inversion"
"6289734","mlr.classif.ranger(13)","0.7981","num.trees:1914,mtry:3,replace:FALSE,sample.fraction:108824653108604,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7384518","mlr.classif.ranger(13)","0.7981","num.trees:1821,mtry:3,replace:FALSE,sample.fraction:108331457735039,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6266514","mlr.classif.ranger(13)","0.7981","num.trees:605,mtry:4,sample.fraction:100568490009755,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6202089","mlr.classif.ranger(13)","0.7981","num.trees:462,mtry:3,replace:FALSE,sample.fraction:163052052725106,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
