"Run ID","Flow","predictive_accuracy","Hyperparameters"
"6725054","mlr.classif.ranger(13)","0.786","num.trees:48,mtry:18,sample.fraction:505367154767737,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2083190","sklearn.pipeline.Pipeline(pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)(1)","0.784","bootstrap:True,weight:None,criterion:entropy,depth:10,features:0.45,nodes:None,split:1e-07,leaf:6,split:7,leaf:0.0,estimators:512,jobs:1,score:False,state:3,verbose:0,start:False,copy:True,power:auto,components:None,state:None,solver:auto,tol:0.0,whiten:False,sklearn.pipeline.Pipeline(pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifie:0, n_estimators=512, n_jobs=1,
            oob_score=False, random_state=3, verbose=0, warm_start=False))]"
"3962979","mlr.classif.ranger(13)","0.784","num.trees:42,mtry:8,sample.fraction:996184578631073,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2083596","sklearn.pipeline.Pipeline(pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)(1)","0.782","bootstrap:True,weight:None,criterion:gini,depth:10,features:0.3,nodes:None,split:1e-07,leaf:3,split:4,leaf:0.0,estimators:512,jobs:-1,score:False,state:3,verbose:0,start:False,copy:True,power:auto,components:None,state:None,solver:auto,tol:0.0,whiten:False,sklearn.pipeline.Pipeline(pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifie:0,
            n_estimators=512, n_jobs=-1, oob_score=False, random_state=3,
            verbose=0, warm_start=False))]"
"6277557","mlr.classif.ranger(13)","0.782","num.trees:438,mtry:16,sample.fraction:63432523496449,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6325996","mlr.classif.ranger(13)","0.782","num.trees:1280,mtry:13,replace:FALSE,sample.fraction:580965812015347,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6782997","mlr.classif.ranger(13)","0.782","num.trees:673,mtry:12,sample.fraction:757685002428479,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6610771","mlr.classif.ranger(13)","0.782","num.trees:225,mtry:17,replace:FALSE,sample.fraction:522046642727219,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7651148","mlr.classif.ranger(13)","0.782","num.trees:1280,mtry:9,sample.fraction:774207862373441,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6162649","mlr.classif.ranger(13)","0.782","num.trees:715,mtry:11,sample.fraction:580524538550526,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2402496","mlr.classif.ranger(9)","0.781","num.trees:310,mtry:10,sample.fraction:764134836476296,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2083543","sklearn.pipeline.Pipeline(pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)(1)","0.781","bootstrap:True,weight:None,criterion:entropy,depth:11,features:0.45,nodes:None,split:1e-07,leaf:6,split:9,leaf:0.0,estimators:512,jobs:-1,score:False,state:3,verbose:0,start:False,copy:True,power:auto,components:None,state:None,solver:auto,tol:0.0,whiten:False,sklearn.pipeline.Pipeline(pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifie:0,
            n_estimators=512, n_jobs=-1, oob_score=False, random_state=3,
            verbose=0, warm_start=False))]"
"8042500","mlr.classif.ranger(9)","0.781","num.trees:607,mtry:16,min.node.size:3,replace:FALSE,sample.fraction:399462193134241,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6322618","mlr.classif.ranger(13)","0.781","num.trees:299,mtry:10,sample.fraction:576374134002253,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6277208","mlr.classif.ranger(13)","0.781","num.trees:1475,mtry:12,sample.fraction:5255075043533,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7165774","mlr.classif.ranger(13)","0.781","num.trees:583,mtry:17,sample.fraction:551223926758394,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7165544","mlr.classif.ranger(13)","0.781","num.trees:1775,mtry:8,sample.fraction:638014761824161,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6327756","mlr.classif.ranger(13)","0.781","num.trees:407,mtry:16,replace:FALSE,sample.fraction:511972185829654,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7491466","mlr.classif.xgboost(9)","0.781","eta:00339786515227548,depth:13,weight:1785124415852,subsample:577818862930872,bytree:849364455323666,bylevel:0504229301586747,lambda:0819627438364565,alpha:216814209519035,nthread:1,nrounds:3254,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6690666","mlr.classif.ranger(13)","0.781","num.trees:267,mtry:16,sample.fraction:567362594418228,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4634746","mlr.classif.ranger(13)","0.781","num.trees:1218,mtry:12,sample.fraction:60923067999538,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6742089","mlr.classif.ranger(13)","0.781","num.trees:128,mtry:13,sample.fraction:628451492474414,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5768599","sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.ensemble.forest.RandomForestClassifier)(1)","0.781","bootstrap:true,weight:null,criterion:""entropy"",depth:null,features:3452393533094398,nodes:null,split:1e-07,leaf:1,split:13,leaf:0.0,estimators:100,jobs:1,score:false,state:47922,verbose:0,start:false,axis:0,features:[0, 2, 3, 5, 6, 8, 9, 11, 13, 14, 16, 18, 19],copy:true,empty:0,values:""NaN"",strategy:""most_frequent"",nominal:""most_frequent"",verbose:0,features:[0, 2, 3, 5, 6, 8, 9, 11, 13, 14, 16, 18, 19],dtype:float64""},unknown:""ignore"",values:""auto"",sparse:false,threshold:0.0"
"6921906","mlr.classif.ranger(13)","0.781","num.trees:1680,mtry:9,sample.fraction:689664436411113,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7679779","mlr.classif.ranger(13)","0.781","num.trees:32,mtry:8,replace:FALSE,sample.fraction:573849033913575,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7880359","mlr.classif.ranger(13)","0.781","num.trees:716,mtry:10,sample.fraction:771283660898916,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7052673","mlr.classif.ranger(13)","0.781","num.trees:1582,mtry:11,sample.fraction:753342022816651,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7054186","mlr.classif.ranger(13)","0.781","num.trees:1644,mtry:11,sample.fraction:753716184687801,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7219389","mlr.classif.ranger(13)","0.781","num.trees:409,mtry:19,replace:FALSE,sample.fraction:511495714867488,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7229688","mlr.classif.ranger(13)","0.781","num.trees:55,mtry:10,replace:FALSE,sample.fraction:64495679254178,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6229940","mlr.classif.ranger(13)","0.781","num.trees:240,mtry:17,sample.fraction:93646766631864,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7274397","mlr.classif.ranger(13)","0.781","num.trees:1523,mtry:10,sample.fraction:672718806262128,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"8459052","mlr.classif.ranger(13)","0.781","num.trees:106,mtry:9,min.node.size:9,sample.fraction:795557955489494,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5312691","mlr.classif.ranger(13)","0.78","num.trees:335,mtry:8,sample.fraction:787743600830436,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5314140","mlr.classif.ranger(13)","0.78","num.trees:1464,mtry:13,sample.fraction:778252902207896,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5316718","mlr.classif.ranger(13)","0.78","num.trees:1450,mtry:10,sample.fraction:521149224415422,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2161723","mlr.classif.ranger(9)","0.78","num.trees:31,mtry:13,replace:FALSE,sample.fraction:798769026552327,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2083187","sklearn.pipeline.Pipeline(pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)(1)","0.78","bootstrap:True,weight:None,criterion:entropy,depth:None,features:0.25,nodes:None,split:1e-07,leaf:1,split:5,leaf:0.0,estimators:300,jobs:1,score:False,state:3,verbose:0,start:False,copy:True,power:auto,components:None,state:None,solver:auto,tol:0.0,whiten:False,sklearn.pipeline.Pipeline(pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifie:0,
            n_estimators=300, n_jobs=1, oob_score=False, random_state=3,
            verbose=0, warm_start=False))]"
"2083188","sklearn.pipeline.Pipeline(pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)(1)","0.78","bootstrap:True,weight:None,criterion:gini,depth:None,features:0.15,nodes:None,split:1e-07,leaf:1,split:7,leaf:0.0,estimators:512,jobs:1,score:False,state:3,verbose:0,start:False,copy:True,power:auto,components:None,state:None,solver:auto,tol:0.0,whiten:False,sklearn.pipeline.Pipeline(pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifie:0, n_estimators=512, n_jobs=1,
            oob_score=False, random_state=3, verbose=0, warm_start=False))]"
"6279531","mlr.classif.ranger(13)","0.78","num.trees:1940,mtry:12,sample.fraction:610042103752494,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"1874313","sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)(1)","0.78","bootstrap:True,weight:None,criterion:gini,depth:None,features:auto,nodes:None,split:1e-05,leaf:1,split:2,leaf:0.0,estimators:500,jobs:-1,score:False,state:None,verbose:0,start:False,axis:0,copy:True,values:NaN,strategy:median,verbose:0,copy:True,power:auto,components:None,state:None,solver:auto,tol:0.0,whiten:False,sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,pca=sklearn.decomposition.pca.PCA,randomforestclassif:0,
            n_estimators=500, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False))]"
"1874315","sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)(1)","0.78","bootstrap:True,weight:None,criterion:gini,depth:None,features:auto,nodes:None,split:0.001,leaf:1,split:2,leaf:0.0,estimators:500,jobs:-1,score:False,state:None,verbose:0,start:False,axis:0,copy:True,values:NaN,strategy:median,verbose:0,copy:True,power:auto,components:None,state:None,solver:auto,tol:0.0,whiten:False,sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,pca=sklearn.decomposition.pca.PCA,randomforestclassif:0,
            n_estimators=500, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False))]"
"7270518","mlr.classif.ranger(13)","0.78","num.trees:118,mtry:13,sample.fraction:627830550819635,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7165010","mlr.classif.ranger(13)","0.78","num.trees:1427,mtry:19,sample.fraction:57541882104706,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6506952","mlr.classif.ranger(13)","0.78","num.trees:921,mtry:14,sample.fraction:439613274345174,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6363300","mlr.classif.xgboost(9)","0.78","eta:00553592357418827,depth:10,weight:03615122694854,subsample:614456139691174,bytree:465914217056707,bylevel:106035491684452,lambda:24404171269234,alpha:0118437739536787,nthread:1,nrounds:3697,verbose:0,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6345410","mlr.classif.ranger(13)","0.78","num.trees:103,mtry:12,sample.fraction:597054097312503,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6784834","mlr.classif.ranger(13)","0.78","num.trees:1985,mtry:16,sample.fraction:525821559806354,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5722413","mlr.classif.ranger(13)","0.78","num.trees:446,mtry:12,sample.fraction:690621435386129,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6714573","mlr.classif.ranger(13)","0.78","num.trees:1314,mtry:10,sample.fraction:516881040297449,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5641034","mlr.classif.ranger(13)","0.78","num.trees:180,mtry:15,sample.fraction:520624099648558,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6673184","mlr.classif.ranger(13)","0.78","num.trees:1296,mtry:13,sample.fraction:470238364301622,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6674747","mlr.classif.ranger(13)","0.78","num.trees:1633,mtry:13,sample.fraction:804326442512684,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6725569","mlr.classif.ranger(13)","0.78","num.trees:355,mtry:5,sample.fraction:704168792627752,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6839348","mlr.classif.ranger(13)","0.78","num.trees:711,mtry:10,sample.fraction:771280555194244,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6840248","mlr.classif.ranger(13)","0.78","num.trees:878,mtry:7,sample.fraction:832278877985664,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6848130","mlr.classif.ranger(13)","0.78","num.trees:1132,mtry:12,sample.fraction:524575976515189,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7568887","mlr.classif.ranger(13)","0.78","num.trees:1169,mtry:11,sample.fraction:596471014199778,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7640623","mlr.classif.ranger(13)","0.78","num.trees:1884,mtry:11,sample.fraction:566069672862068,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7616163","mlr.classif.ranger(13)","0.78","num.trees:249,mtry:16,sample.fraction:517954958439805,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
