"Run ID","Flow","predictive_accuracy","Hyperparameters"
"7426684","mlr.classif.svm(6)","1","cost:00136447665569644,gamma:60744532205957,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7426707","mlr.classif.svm(6)","1","cost:463326936976,kernel:polynomial,degree:4,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7426751","mlr.classif.svm(6)","1","cost:637962178254,kernel:polynomial,degree:5,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7426943","mlr.classif.svm(6)","1","cost:235477590162,kernel:polynomial,degree:4,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7426945","mlr.classif.svm(6)","1","cost:048841079136,kernel:polynomial,degree:2,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7426962","mlr.classif.svm(6)","1","cost:828840663449,gamma:89311858622161,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7427008","mlr.classif.svm(6)","1","cost:57406233907,kernel:polynomial,degree:5,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7427115","mlr.classif.svm(6)","1","cost:76024819778,kernel:polynomial,degree:2,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7427271","mlr.classif.svm(6)","1","cost:5981991849463,kernel:polynomial,degree:5,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7427313","mlr.classif.svm(6)","1","cost:813394781443,kernel:polynomial,degree:5,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7427315","mlr.classif.svm(6)","1","cost:779424715475,kernel:polynomial,degree:5,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7427330","mlr.classif.svm(6)","1","cost:956247205171,kernel:polynomial,degree:5,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7427341","mlr.classif.svm(6)","1","cost:527811163635,kernel:polynomial,degree:4,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7427422","mlr.classif.svm(6)","1","cost:3638805712,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7427479","mlr.classif.svm(6)","1","cost:48280908214,kernel:polynomial,degree:2,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7427548","mlr.classif.svm(6)","1","cost:963180024197,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7427549","mlr.classif.svm(6)","1","cost:918855932563,kernel:polynomial,degree:4,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7427571","mlr.classif.svm(6)","1","cost:31151259819,kernel:polynomial,degree:2,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7427763","mlr.classif.svm(6)","1","cost:171181958352,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7427773","mlr.classif.svm(6)","1","cost:162811230645,kernel:polynomial,degree:5,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7419970","mlr.classif.svm(6)","1","cost:036614324448,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7419984","mlr.classif.svm(6)","1","cost:00131740091369931,gamma:00560471616843,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7419985","mlr.classif.svm(6)","1","cost:0136366921677742,gamma:46794519555138,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420033","mlr.classif.svm(6)","1","cost:372199070618,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420048","mlr.classif.svm(6)","1","cost:050769998701,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420147","mlr.classif.svm(6)","1","cost:534289333166,gamma:0276533252163934,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420169","mlr.classif.svm(6)","1","cost:159750470609,kernel:polynomial,degree:2,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420291","mlr.classif.svm(6)","1","cost:026277826425,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420297","mlr.classif.svm(6)","1","cost:453257390769,kernel:polynomial,degree:5,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420345","mlr.classif.svm(6)","1","cost:5452922553279,kernel:polynomial,degree:4,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420347","mlr.classif.svm(6)","1","cost:002193659921,gamma:0655754759555414,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420348","mlr.classif.svm(6)","1","cost:8731335638853,kernel:polynomial,degree:5,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420353","mlr.classif.svm(6)","1","cost:496298254869,kernel:polynomial,degree:5,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420413","mlr.classif.svm(6)","1","cost:567235141855,kernel:polynomial,degree:4,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420418","mlr.classif.svm(6)","1","cost:8999423542078,kernel:polynomial,degree:4,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420494","mlr.classif.svm(6)","1","cost:868051357546,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420641","mlr.classif.svm(6)","1","cost:671218411577,kernel:polynomial,degree:4,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420873","mlr.classif.svm(6)","1","cost:61177780057,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420938","mlr.classif.svm(6)","1","cost:660206282927,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7420942","mlr.classif.svm(6)","1","cost:125058252922,kernel:polynomial,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7421095","mlr.classif.svm(6)","1","cost:068428774186,kernel:polynomial,degree:4,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"7421101","mlr.classif.svm(6)","1","cost:576421886673,kernel:polynomial,degree:2,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
