"Run ID","Flow","predictive_accuracy","Hyperparameters"
"569122","weka.SGD(4)","0.9824","F:0,L:0.01,R:1.0E-4,E:500,C:0.001,S:1"
"2592164","mlr.classif.glmnet(11)","0.9824","alpha:376557290321216,s:0.01,lambda:00983801841727893,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2358836","mlr.classif.svm(7)","0.9824","cost:0149708497360273,kernel:linear,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2358929","mlr.classif.svm(7)","0.9824","cost:0146539663637293,kernel:linear,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2358948","mlr.classif.svm(7)","0.9824","cost:0165407763746597,kernel:linear,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2359022","mlr.classif.svm(7)","0.9824","cost:0144691549157074,kernel:linear,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"1672147","weka.MultiClassClassifierUpdateable_SGD(3)","0.9824","F:0,L:0.01,R:1.0E-4,E:500,C:0.001,S:1,M:0,R:2.0,S:1,W:SGD"
"4220907","mlr.classif.svm(6)","0.9824","cost:0167990068763814,kernel:linear,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4222133","mlr.classif.svm(6)","0.9824","cost:0150848470899931,kernel:linear,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4092382","mlr.classif.svm(6)","0.9824","cost:016990016632966,kernel:linear,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4100978","mlr.classif.svm(6)","0.9824","cost:0168679704427638,kernel:linear,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4100220","mlr.classif.svm(6)","0.9824","cost:0167714630008436,kernel:linear,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4100240","mlr.classif.svm(6)","0.9824","cost:0164682904254436,kernel:linear,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4099488","mlr.classif.svm(6)","0.9824","cost:0148545454322816,kernel:linear,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
