"Run ID","Flow","predictive_accuracy","Hyperparameters"
"4201453","mlr.classif.svm(6)","0.9893","cost:066731712669,gamma:103338677458488,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5560892","mlr.classif.svm(6)","0.9888","cost:5844701790461,gamma:125508148314736,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"6181552","sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.SVC)(1)","0.9888","axis:0,features:[],copy:true,empty:0,values:""NaN"",strategy:""most_frequent"",nominal:""most_frequent"",verbose:0,features:[],dtype:float64""},unknown:""ignore"",values:""auto"",sparse:true,threshold:0.0,C:55798030634346,size:200,weight:null,coef0:6654733325510271,shape:null,degree:2,gamma:0009160404201253473,kernel:""poly"",iter:-1,probability:true,state:59882,shrinking:false,tol:000646685879509501,verbose:false"
"2757474","mlr.classif.svm(6)","0.9888","cost:2771289325779,gamma:104031580506271,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2823451","mlr.classif.svm(6)","0.9888","cost:6223966450382,gamma:108746160282651,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4618849","mlr.classif.svm(6)","0.9888","cost:4800277103482,gamma:104342161442499,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"3232892","mlr.classif.svm(6)","0.9888","cost:7862941374975,gamma:101832020765169,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4299381","mlr.classif.svm(6)","0.9886","cost:4702652213633,gamma:0581510956331194,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5546940","mlr.classif.svm(6)","0.9886","cost:4504181507182,gamma:112899992147817,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5571268","mlr.classif.svm(6)","0.9886","cost:3603607958257,gamma:106600307880763,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2723986","mlr.classif.svm(6)","0.9886","cost:6297761545123,gamma:1034486700787,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2732121","mlr.classif.svm(6)","0.9886","cost:848880054064,gamma:0171559024767421,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2732283","mlr.classif.svm(6)","0.9886","cost:3461271272744,gamma:0917723282638026,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4620081","mlr.classif.svm(6)","0.9886","cost:80438506085,gamma:0155352771693552,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4628128","mlr.classif.svm(6)","0.9886","cost:9752815522731,gamma:115610136424162,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5546779","mlr.classif.svm(6)","0.9886","cost:9893699936036,gamma:127248295153965,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5585742","mlr.classif.svm(6)","0.9886","cost:458086490687,gamma:0141558951688563,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5544154","mlr.classif.svm(6)","0.9886","cost:8371836692992,gamma:1304231540106,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2796095","mlr.classif.svm(6)","0.9886","cost:0446082560259,gamma:124103463161627,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"3193712","mlr.classif.svm(6)","0.9886","cost:136124242755,gamma:0175723156478566,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4592094","mlr.classif.svm(6)","0.9886","cost:9658645261812,gamma:0646484234559738,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"8730762","sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,scaling=sklearn.preprocessing.data.StandardScaler,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.SVC)(1)","0.9886","axis:0,features:[],copy:true,empty:0,values:""NaN"",strategy:""mean"",nominal:""most_frequent"",verbose:0,features:[],dtype:float64""},unknown:""ignore"",values:""auto"",sparse:true,threshold:0.0,copy:true,mean:false,std:true,C:2482742556525,size:200,weight:null,coef0:48462659339005176,shape:null,degree:4,gamma:009472874276429677,kernel:""rbf"",iter:-1,probability:true,state:49595,shrinking:true,tol:0002105560646487424,verbose:false"
"4203630","mlr.classif.svm(6)","0.9884","cost:7511409922804,gamma:0799417976204717,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4186015","mlr.classif.svm(6)","0.9884","cost:554148764892,gamma:00826284906788933,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4230083","mlr.classif.svm(6)","0.9884","cost:00482517405319,gamma:148741676270233,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4233359","mlr.classif.svm(6)","0.9884","cost:024136281676,gamma:0168186533380867,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4234418","mlr.classif.svm(6)","0.9884","cost:6065288842191,gamma:112317113657209,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4210656","mlr.classif.svm(6)","0.9884","cost:6789529958947,gamma:061284934898533,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"1876649","mlr.classif.svm(8)","0.9884","cost:29358118846723,gamma:0875215448801212,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4284972","mlr.classif.svm(6)","0.9884","cost:842727518095,gamma:0193427437211686,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4273733","mlr.classif.svm(6)","0.9884","cost:1559944783812,gamma:0533284972809282,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4277586","mlr.classif.svm(6)","0.9884","cost:3714615459223,gamma:0457631289991467,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4162989","mlr.classif.svm(6)","0.9884","cost:4925117128209,gamma:0775215852292486,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4181657","mlr.classif.svm(6)","0.9884","cost:0624799810336,gamma:0751041753081905,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4291472","mlr.classif.svm(6)","0.9884","cost:3123676280484,gamma:104064706230253,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4154492","mlr.classif.svm(6)","0.9884","cost:152463849661,gamma:0145293295363518,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4227066","mlr.classif.svm(6)","0.9884","cost:9284323049197,gamma:0372387783110059,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2740060","mlr.classif.svm(6)","0.9884","cost:5372041974146,gamma:0681740451516813,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5562239","mlr.classif.svm(6)","0.9884","cost:807490240143,gamma:00930884661960907,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4561825","mlr.classif.svm(6)","0.9884","cost:060084969355,gamma:0197176897413049,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4565935","mlr.classif.svm(6)","0.9884","cost:9899073757218,gamma:0709064988032047,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2725833","mlr.classif.svm(6)","0.9884","cost:0424721396734,gamma:0812224058136492,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2741724","mlr.classif.svm(6)","0.9884","cost:9857702476604,gamma:148268937592422,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2741481","mlr.classif.svm(6)","0.9884","cost:382220117197,gamma:016665092446236,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2741843","mlr.classif.svm(6)","0.9884","cost:534927202168,gamma:0806086598433512,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2727894","mlr.classif.svm(6)","0.9884","cost:5735877156161,gamma:0570207418952366,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2814097","mlr.classif.svm(6)","0.9884","cost:53539547155383,gamma:102697424447489,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2755333","mlr.classif.svm(6)","0.9884","cost:079931344823,gamma:0133053038280412,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2755437","mlr.classif.svm(6)","0.9884","cost:259954088818,gamma:0186291524815162,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2760234","mlr.classif.svm(6)","0.9884","cost:6290548596558,gamma:063484766793609,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2748585","mlr.classif.svm(6)","0.9884","cost:7713293646117,gamma:0376303983430519,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2803205","mlr.classif.svm(6)","0.9884","cost:93949323382,gamma:0334126103381244,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2821450","mlr.classif.svm(6)","0.9884","cost:4137348301874,gamma:0849317068103976,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2822401","mlr.classif.svm(6)","0.9884","cost:309141404672,gamma:0107242654115963,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2822819","mlr.classif.svm(6)","0.9884","cost:20612662484,gamma:018012693899836,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2786919","mlr.classif.svm(6)","0.9884","cost:15507276887186,gamma:115227640274298,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2787627","mlr.classif.svm(6)","0.9884","cost:57498154412415,gamma:162350628664187,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2787841","mlr.classif.svm(6)","0.9884","cost:7846150640869,gamma:137081534038228,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2744815","mlr.classif.svm(6)","0.9884","cost:249158022755,gamma:0333558727528581,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2746896","mlr.classif.svm(6)","0.9884","cost:296966835863,gamma:0115699253522485,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2747717","mlr.classif.svm(6)","0.9884","cost:761868969662,gamma:141897662712802,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2780456","mlr.classif.svm(6)","0.9884","cost:72531284119798,gamma:112822430950354,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2780830","mlr.classif.svm(6)","0.9884","cost:3850468804666,gamma:101891693593682,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2775784","mlr.classif.svm(6)","0.9884","cost:890911539615,gamma:0109911262501433,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"3201111","mlr.classif.svm(6)","0.9884","cost:16910811032488,gamma:158473776338007,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5615587","mlr.classif.svm(6)","0.9884","cost:4988463420557,gamma:0326303269317185,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4616638","mlr.classif.svm(6)","0.9884","cost:03935180416492,gamma:134059774639707,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4616864","mlr.classif.svm(6)","0.9884","cost:366284480265,gamma:00695894438996823,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"3223534","mlr.classif.svm(6)","0.9884","cost:81591048062994,gamma:105440270451272,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5633358","mlr.classif.svm(6)","0.9884","cost:276650860114,gamma:0111049160131126,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4630194","mlr.classif.svm(6)","0.9884","cost:3304037154611,gamma:129848075447778,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4630888","mlr.classif.svm(6)","0.9884","cost:999332799537,gamma:0158950490822881,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5582711","mlr.classif.svm(6)","0.9884","cost:60585276538563,gamma:100378890720194,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4583324","mlr.classif.svm(6)","0.9884","cost:814594759815,gamma:0163995605704667,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"3175621","mlr.classif.svm(6)","0.9884","cost:44735692971164,gamma:100449267926307,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4578426","mlr.classif.svm(6)","0.9884","cost:400745011032,gamma:0137525370981538,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5577084","mlr.classif.svm(6)","0.9884","cost:1730087068852,gamma:0629583167459343,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4569439","mlr.classif.svm(6)","0.9884","cost:1181696652299,gamma:0573126821823729,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"3175351","mlr.classif.svm(6)","0.9884","cost:067360049089,gamma:0140937988351294,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2737420","mlr.classif.svm(6)","0.9884","cost:31201523259323,gamma:130249361225824,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2820275","mlr.classif.svm(6)","0.9884","cost:7257241614554,gamma:0817169500758823,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2782381","mlr.classif.svm(6)","0.9884","cost:5240369559577,gamma:0665938776775654,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2782470","mlr.classif.svm(6)","0.9884","cost:721263998344,gamma:0297339461770234,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4665304","mlr.classif.svm(6)","0.9884","cost:80179671585249,gamma:149618796021385,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"3183735","mlr.classif.svm(6)","0.9884","cost:884438355706,gamma:0075365324000602,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5591158","mlr.classif.svm(6)","0.9884","cost:055788754774,gamma:010933180318804,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5598146","mlr.classif.svm(6)","0.9884","cost:87095189443758,gamma:162282810797165,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"5599344","mlr.classif.svm(6)","0.9884","cost:00693693048955,gamma:132014063220603,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
