,Flow,Accuracy
0,weka.AdaBoostM1_DecisionStump(1),0.929825
1,weka.RandomTree(1),0.824561
2,weka.Bagging_REPTree(1),0.98441
3,weka.REPTree(1),0.681416
4,weka.JRip(1),0.98441
5,weka.IBk(1),0.842105
6,weka.Logistic(1),0.530973
7,weka.BayesNet_K2(1),0.961024
8,weka.SMO_RBFKernel(1),0.542035
9,weka.RandomForest(1),0.991091
10,weka.Bagging_REPTree(1),0.725664
11,weka.DecisionStump(1),0.553097
12,weka.LogitBoost_DecisionStump(1),0.738938
13,weka.SMO_PolyKernel(1),0.712389
14,weka.DecisionStump(1),0.842105
15,weka.Logistic(1),0.988864
16,weka.SMO_PolyKernel(1),0.973274
17,weka.AdaBoostM1_DecisionStump(1),0.836303
18,weka.JRip(1),0.877193
19,weka.NaiveBayes(1),0.865256
20,weka.BayesNet_K2(1),0.707965
21,weka.ZeroR(1),0.761693
22,weka.J48(1),0.985523
23,weka.REPTree(1),0.982183
24,weka.LogitBoost_DecisionStump(1),0.98441
25,weka.NaiveBayes(1),0.865256
26,weka.NaiveBayes(1),0.865256
27,weka.NaiveBayesUpdateable(1),0.865256
28,weka.Logistic(1),0.987751
29,weka.MultilayerPerceptron(1),0.983296
30,weka.SimpleLogistic(1),0.992205
31,weka.SMO_PolyKernel(1),0.973274
32,weka.IBk(1),0.989978
33,weka.KStar(1),0.953229
34,weka.LWL_DecisionStump(1),0.955457
35,weka.AdaBoostM1_DecisionStump(1),0.836303
36,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_J48(1),0.966592
37,weka.Bagging_REPTree(1),0.98441
38,weka.ClassificationViaRegression_M5P(1),0.985523
39,weka.CVParameterSelection_ZeroR(1),0.761693
40,weka.FilteredClassifier_Discretize_J48(1),0.986637
41,weka.LogitBoost_DecisionStump(1),0.98441
42,weka.MultiClassClassifier_Logistic(1),0.992205
43,weka.MultiClassClassifierUpdateable_SGD(1),0.989978
44,weka.MultiScheme_ZeroR(1),0.761693
45,weka.RandomCommittee_RandomTree(1),0.992205
46,weka.RandomSubSpace_REPTree(1),0.989978
47,weka.Vote_ZeroR(1),0.761693
48,weka.DecisionTable_BestFirst(1),0.953229
49,weka.JRip(1),0.98441
50,weka.OneR(1),0.836303
51,weka.PART(1),0.982183
52,weka.ZeroR(1),0.761693
53,weka.DecisionStump(1),0.771715
54,weka.J48(1),0.985523
55,weka.LMT(1),0.993318
56,weka.RandomForest(1),0.991091
57,weka.RandomTree(1),0.982183
58,weka.REPTree(1),0.982183
59,weka.KStar(1),0.55531
60,weka.MultiClassClassifierUpdateable_SGD(1),0.659292
61,weka.LMT(1),0.734513
62,weka.BayesNet_K2(1),0.894737
63,weka.MultiScheme_ZeroR(1),0.649123
64,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_J48(1),0.654867
65,weka.PART(1),0.659292
66,weka.NaiveBayesUpdateable(1),0.964912
67,weka.RandomCommittee_RandomTree(1),0.681416
68,weka.SMO_RBFKernel(1),0.649123
69,weka.MultiClassClassifier_Logistic(1),0.550885
70,weka.ZeroR(1),0.649123
71,weka.RandomSubSpace_REPTree(1),0.692478
72,weka.IBk(1),0.533186
73,weka.SMO_PolyKernel(1),0.649123
74,weka.J48(1),0.965479
75,weka.SMO_RBFKernel(1),0.991091
76,weka.SMO_RBFKernel(1),0.975501
77,weka.SMO_RBFKernel(1),0.542035
78,weka.AdaBoostM1_DecisionStump(1),0.912281
79,weka.SMO_RBFKernel(1),0.761693
80,weka.MultiScheme_ZeroR(1),0.542035
81,weka.SMO_RBFKernel(1),0.649123
82,weka.CVParameterSelection_ZeroR(1),0.649123
83,weka.SMO_RBFKernel(1),0.649123
84,weka.J48(1),0.965479
85,weka.SMO_RBFKernel(1),0.586283
86,weka.RandomForest(1),0.643805
87,weka.Bagging_REPTree(1),0.747788
88,weka.OneR(1),0.590708
89,weka.SMO_RBFKernel(1),0.77193
90,weka.SMO_RBFKernel(1),0.923163
91,weka.J48(1),0.789474
92,weka.SMO_RBFKernel(1),0.542035
93,weka.SMO_RBFKernel(1),0.649123
94,weka.AdaBoostM1_DecisionStump(1),0.929825
95,weka.Bagging_REPTree(1),0.894737
96,weka.SMO_RBFKernel(1),0.719298
97,weka.SimpleLogistic(1),0.734513
98,weka.SMO_RBFKernel(1),0.831849
99,weka.J48(1),0.789474
100,weka.SMO_RBFKernel(1),0.974388
101,weka.MultilayerPerceptron(1),0.929825
102,weka.J48(1),0.65708
103,weka.SMO_PolyKernel(1),0.692478
104,weka.J48(1),0.789474
105,weka.RandomForest(1),0.49115
106,weka.SMO_RBFKernel(1),0.719298
107,weka.Bagging_REPTree(1),0.986637
108,weka.SMO_RBFKernel(1),0.649123
109,weka.J48(1),0.789474
110,weka.SMO_RBFKernel(1),0.542035
111,weka.Bagging_REPTree(1),0.877193
112,weka.Bagging_REPTree(1),0.988864
113,weka.J48(1),0.650442
114,weka.OneR(1),0.824561
115,weka.SMO_PolyKernel(1),0.683628
116,weka.SMO_RBFKernel(1),0.912281
117,weka.Bagging_REPTree(1),0.986637
118,weka.SMO_PolyKernel(1),0.683628
119,weka.SMO_RBFKernel(1),0.719298
